"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 29 18:54:52 IST 2020","Sat Aug 29 18:54:53 IST 2020","880","Suite","Test","com.crm.qa.testcases.HomePageTest","com.crm.qa.testcases.HomePageTest","verifyUserNameTest","verifyUserNameTest",""
"broken","Sat Aug 29 18:58:05 IST 2020","Sat Aug 29 18:58:33 IST 2020","28054","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","validateCreateNewContact","validateCreateNewContact",""
"broken","Sat Aug 29 18:57:23 IST 2020","Sat Aug 29 18:57:49 IST 2020","25324","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","validateCreateNewContact","validateCreateNewContact",""
"broken","Sat Aug 29 18:55:35 IST 2020","Sat Aug 29 18:56:01 IST 2020","26166","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","selectSingleContactsTest","selectSingleContactsTest",""
"broken","Sat Aug 29 18:56:16 IST 2020","Sat Aug 29 18:56:44 IST 2020","27824","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","selectMultipleContactsTest","selectMultipleContactsTest",""
"passed","Sat Aug 29 18:55:06 IST 2020","Sat Aug 29 18:55:07 IST 2020","1396","Suite","Test","com.crm.qa.testcases.HomePageTest","com.crm.qa.testcases.HomePageTest","verifyContactsLinkTest","verifyContactsLinkTest",""
"passed","Sat Aug 29 18:54:27 IST 2020","Sat Aug 29 18:54:27 IST 2020","457","Suite","Test","com.crm.qa.testcases.LoginPageTest","com.crm.qa.testcases.LoginPageTest","loginTest","Validate: Login is successful and Homepage is displayed","Test Case Description: Verify Login is successful"
"passed","Sat Aug 29 18:55:22 IST 2020","Sat Aug 29 18:55:22 IST 2020","31","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","verifyContactsPageLabel","verifyContactsPageLabel",""
"passed","Sat Aug 29 18:54:26 IST 2020","Sat Aug 29 18:54:26 IST 2020","48","Suite","Test","com.crm.qa.testcases.LoginPageTest","com.crm.qa.testcases.LoginPageTest","loginPageTileTest","Validate: Login Page is displayed","Test Case Description: Verify Login Page Name is displayed as:  Cogmento CRM"
"passed","Sat Aug 29 18:57:00 IST 2020","Sat Aug 29 18:57:08 IST 2020","8588","Suite","Test","com.crm.qa.testcases.ContactsPageTest","com.crm.qa.testcases.ContactsPageTest","validateCreateNewContact","validateCreateNewContact",""
"passed","Sat Aug 29 18:54:27 IST 2020","Sat Aug 29 18:54:27 IST 2020","120","Suite","Test","com.crm.qa.testcases.LoginPageTest","com.crm.qa.testcases.LoginPageTest","classicCRMlnkTest","Validate: Classic CRM Link","Test Case Description: Verify Classic CRM Link is displayed on the Login page"
"passed","Sat Aug 29 18:54:40 IST 2020","Sat Aug 29 18:54:40 IST 2020","6","Suite","Test","com.crm.qa.testcases.HomePageTest","com.crm.qa.testcases.HomePageTest","verifyHomePageTitleTest","verifyHomePageTitleTest",""
